Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
352.05,350.68,350.68,0,23434,128.7992,3806.7701,3908.661,7541.88,202.8698,1248,1248,180.3,181.4,285.8,287.6,22.6,23,44.38,44.38,84.8
353.42,351.19,351.19,0,23194,127.5702,3759.5809,3823.631,7524.99,200.4149,1248,1251,178.8,177.3,287.1,292.8,21.9,22.6,43.91,43.91,86.39
354.89,352.96,352.96,0,22989,125.7267,3729.8158,3642.769,7599.6,199.8318,1243,1248,172.6,166.7,293.6,301.7,22.8,22.7,44.32,44.32,86.01
354.72,353.33,353.33,0,23416,92.2979,3795.587,3713.511,7715.9,201.2528,1247,1248,174.8,163.4,291.7,302.5,22.9,23.3,42.44,42.44,85.08
337.83,336.81,336.81,0,23453,64.5309,3839.218,3771.703,7668.93,201.9045,1248,1246,174.8,172.1,290.5,293.2,23.2,22.8,43.06,43.06,85.84
323.16,322.82,322.82,0,23367,123.3916,3773.8704,3787.262,7605.79,202.3455,1248,1248,175.7,173.1,287.6,290.4,0,0,42.26,42.26,84.83
350.74,350.02,350.02,0,22384,120.6878,3640.9441,3547.756,7370.68,195.7844,1245,1236,171.2,168.7,292.3,294.7,23.4,21.1,43.59,43.59,85.35
350.22,349.95,349.95,0,23263,124.4977,3762.2354,3601.724,7733.41,200.0719,1243,1244,170.4,162.2,292.4,300.9,23,23.7,43.2,43.2,84.76
341.17,340.11,340.11,0,23136,121.5635,3819.7323,3475.095,7829.41,197.4945,1246,1232,168.5,157.6,295,308,23.6,23.5,42.31,42.31,86.2
327.97,327.86,327.86,0,23020,121.0565,3887.0004,3365.952,7886.54,199.3173,1233,1232,160.4,156.6,304.4,307.8,22.7,22.6,42.98,42.98,85.4
346.61,353.67,353.67,0,21991,120.6878,3786.5502,3293.523,7937.68,195.4708,1243,1248,166,163.6,328.7,315.7,21.6,22.1,46.47,46.47,88.69
322.76,318.42,318.42,0,22092,126.2183,3835.2927,3035.613,7810.01,199.3516,1215,1235,145.8,159,321.6,308,0,0,48.1,48.1,86.59
352.09,352.33,352.33,0,23399,122.1626,3922.8936,3372.593,8120.32,200.7481,1231,1243,157.3,157,311.6,308.2,0,0,43.23,43.23,85.45
333.65,332.19,332.19,0,23402,120.9336,3910.5526,3417.808,8050.67,200.4737,1242,1248,156.2,158.7,310.4,306.1,0,0,42.44,42.44,84.67
325.06,324.44,324.44,0,23373,121.1794,3897.5622,3484.784,7993.96,199.0919,1245,1245,157.5,165.5,307.3,303.6,0,0,42.05,42.05,85.07
351.85,352.49,352.49,0,23299,119.8275,3895.7548,3419.164,8019.25,199.6211,1244,1243,158.1,163.1,308.3,304.6,0,0,40.92,40.92,84.7
352.38,353.11,353.11,0,23270,120.6878,3913.0095,3465.723,8010.81,200.7285,1248,1243,160.1,164.6,308.8,304.8,0,0,42.08,42.08,85.12
320.07,320.13,320.13,0,23498,119.9504,3935.3475,3514.339,8025.04,200.459,1247,1248,158.9,161.9,307.8,304.6,0,0,41.79,41.79,84.96
326.25,325.92,325.92,0,23283,120.1962,3913.4614,3537.631,7951.99,200.1454,1248,1246,161.7,165.9,306,304.7,0,0,42.22,42.22,85.16
326.35,325.66,325.66,0,23365,119.4588,4038.501,3603.42,7889.67,200.9882,1252,1252,164.5,167.6,301.7,301.3,0,0,41.7238,41.7238,85.1
331.61,332.54,332.54,0,23489,122.2855,4090.6086,3580.75,7892.82,201.4684,1258,1258,166.8,164.8,297.3,300.2,0,0,41.3132,41.3132,84.53
336.64,339.54,339.54,0,22787,125.7267,4050.8725,3640.72,7674.22,200.7383,1257,1255,175.8,167.6,299,301.7,0,0,44.4114,44.4114,85.2
330,334.48,334.48,0,23190,126.9557,4034.8191,3553.94,7727.64,200.4786,1258,1240,172.4,157.9,295,299.2,0,0,44.2008,44.2008,84.92
333.4,339.82,339.82,0,23308,126.7099,4048.3393,3624.18,7804.15,199.1605,1250,1252,176,158.8,299.6,297.8,0,0,46.5582,46.5582,85.01
338.17,338.03,338.03,0,23424,125.6038,4062.7139,3679.99,7769.51,200.7971,1247,1257,171.5,166.4,294.8,296.3,0,0,45.3526,45.3526,84.55
348.06,349.42,349.42,0,23572,124.3748,4114.0851,3800.94,7756.34,201.8261,1256,1258,174.5,169.4,294.1,293.7,0,0,45.1802,45.1802,85.45
329.38,341.64,341.64,0,23551,126.3412,4089.4893,3803.98,7834.53,201.7036,1258,1257,176.3,0,298.1,0,0,0,45.6156,45.6156,85.58
307,311.02,311.02,0,23462,127.0786,4041.7707,3671.37,7920.42,199.5525,1248,1256,172.6,167.7,304.7,295.2,0,0,46.4059,46.4059,85.81
