Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
369.09,370.65,370.65,0,23393,119.8275,3875.1067,3797.04,7641.9,201.3998,1254,1253,177,173.1,290.2,287.8,22.1,22.1,40.5057,40.5057,84.39
370.57,373.41,373.41,0,23315,118.1069,3878.9926,3853.51,7592.61,200.9588,1254,1253,178.1,175.3,291,286.8,21.1,21.3,37.9909,37.9909,84.09
375.75,379.67,379.67,0,22755,117.8611,3834.7047,3641.72,7675.53,197.3622,1250,1254,168.8,174.9,307.6,292.7,21.9,22.8,38.305,38.305,85.15
372.11,372.7,372.7,0,21822,116.6321,3778.1305,3221.38,7578.38,196.3136,1212,1246,157.8,164.1,314.9,303.2,22.3,21.8,41.3137,41.3137,85.45
370.08,372.51,372.51,0,22502,115.0344,3816.9896,3185.44,7842.15,198.7538,1222,1237,153.9,154.2,315.9,306.2,0,0,39.9368,39.9368,84.64
367.27,368.58,368.58,0,22919,105.5711,3756.8151,3293.65,7774.18,196,1233,1245,150.5,156,310,298.1,22.7,22.9,37.2829,37.2829,84.59
370.75,371.2,371.2,0,23511,113.8054,3870.0208,3566.26,7929.18,200.4198,1241,1254,161,169.3,303.6,294.3,22.6,21.9,36.8988,36.8988,84.97
371.67,371.12,371.12,0,23165,113.9283,3850.8198,3569.31,7828.45,198.989,1245,1250,165.8,170.3,300.3,294.7,22.7,21.8,37.3,37.3,84.96
371.3,369.86,369.86,0,23319,114.9115,3853.8485,3491.19,7933.54,198.401,1249,1239,162.7,158.8,300.1,307.5,21.8,21.6,36.7385,36.7385,84.31
369.32,368.94,368.94,0,23248,117.0008,3889.4503,3471.2,7926.55,200.508,1249,1222,164.9,154.6,299.3,310.8,20.8,21.4,37.2349,37.2349,84.49
370.51,369.53,369.53,0,23580,114.6657,3895.5649,3500.89,8022.5,200.606,1247,1248,165.8,158.7,298.2,305,0,0,36.7822,36.7822,84.43
371.72,370.31,370.31,0,23312,114.4199,3871.1637,3581.09,7860.73,198.9008,1252,1253,167,163.8,297.7,302.5,0,0,37.3433,37.3433,84.64
371.31,370.1,370.1,0,23308,115.8947,3855.3343,3605.45,7840.26,197.9306,1259,1252,166.8,164.7,296.6,303.4,22.2,21.9,38.3398,38.3398,85.02
370.51,370.16,370.16,0,23132,119.3359,3859.6203,3465.86,7888.73,198.989,1255,1239,169.3,157.9,297.2,307.5,21.9,22.3,40.5626,40.5626,85.17
369.7,369.76,369.76,0,23364,94.0185,3916.5945,3567.84,7874.93,200.2826,1258,1241,169.3,158.5,294.9,306.2,23.5,22.9,21.193,21.193,85.36
370.03,369.87,369.87,0,23392,60.0981,3966.0827,3657.57,7811.74,200.2434,1258,1246,172.9,162.1,293.8,301,23,23.2,0,0,84.67
372.22,373.74,373.74,0,23229,60.3439,3934.3668,3621.08,7811.14,198.9008,1256,1249,174.5,163.1,295.8,300.8,22.4,22.6,0,0,85.42
376.63,380.14,380.14,0,22352,88.1193,3847.8482,3533.64,7653.07,197.0682,1225,1240,167.2,162.4,313.5,305,0,0,20.8276,20.8276,87.07
371.68,373.15,373.15,0,22767,111.839,3852.477,3211.17,7959.38,198.4402,1218,1239,148.8,157.7,317.9,306.6,0,0,36.7176,36.7176,84.6
368.62,371.06,371.06,0,23768,119.213,3879.6784,3440.33,8085.92,200.1846,1235,1242,156.2,157,306.8,299.9,22.8,22.8,41.8017,41.8017,84.91
369.4,369.17,369.17,0,23591,122.7771,3907.0512,3558.41,8012.18,201.7624,1215,1249,164.1,163,305.8,298.1,22,22.3,43.3995,43.3995,84.92
